utmx,utmy,X,Y,Rate_per_100000,PopulationDensity,PopulationFemale,Beer,NoHealthInsurance,DrinkingPlaces,Cases,Neighbor_Disadvantage
1973006.229,4441197.589,-106.070361,38.870205,115.5,1970.820797,232.06,9.181657,50.19,24.710416,21,-2.251983
2001961.268,4540387.031,-105.534468,39.675105,162.9,328.9923,149.1,9.97484,31.53,14.970472,14,-1.786943
1801511.208,4414221.339,-108.02503,38.903196,89.6,413.55519,345.63,16.815497,61.29,6.54801,24,-0.510147
2052196.32,4560164.5,-104.931402,39.756519,893,1179447.981,7145.72,354.946165,1268.51,1243.642122,5568,-22.583748
2059131.463,4537193.903,-104.907598,39.547413,91.4,162157.3161,3053.89,292.06069,181.13,550.241123,267,-47.603046
1898291.297,4511425.994,-106.753004,39.598209,140.6,1910.358456,629.41,70.496333,137.64,250.294332,66,-8.73883
2085956.698,4527053.58,-104.634833,39.412559,126.3,417.298611,343.67,37.125949,35.36,39.372375,29,-4.647994
2083855.037,4463172.527,-104.804302,38.869788,165.2,465523.6216,6395.27,536.672785,981.17,865.907095,988,-32.354553
2069668.643,4400730.215,-105.097919,38.359542,391.8,7264.499824,556.34,53.96328,71.3,51.345412,167,-1.973736
1751340.269,4476862.263,-108.470153,39.521786,144.3,2144.426922,545.26,63.686248,178.15,46.404269,71,-3.622298
1965568.389,4564086.825,-105.887689,39.941368,107.3,41.007098,142.42,10.971114,37.42,30.094706,15,-1.81602
1920719.589,4407784.142,-106.715906,38.666019,64.7,1203.945372,181.65,11.59154,31.53,24.673906,10,-1.81621
2096477.802,4327498.6,-104.965969,37.685869,196.3,79.627063,101.23,3.548577,18.97,7.946443,12,-0.269172
2037342.004,4542476.779,-105.13683,39.631307,180.8,503526.5334,6853.78,356.124832,742.86,1014.170211,910,-73.247155
1941927.055,4473644.344,-106.34589,39.201057,116.5,371.990889,87.5,8.429074,37.82,9.5689,8,0.663246
1868768.541,4250365.738,-107.587057,37.380059,114.1,5286.95439,499.15,33.02333,82.7,47.500801,56,-5.089369
